Report Number,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Police Deployed,Latitude,Longitude
NCRB_32880,2022-11-09,08:16,Delhi,554,Kidnapping,54,F,Knife,10,28.69043104343548,77.30776510689427
NCRB_32881,2022-12-24,12:14,Delhi,950,Kidnapping,33,Unknown,Unknown,5,28.68036736048524,77.01290932774559
NCRB_32882,2022-06-30,19:05,Delhi,619,Burglary,24,F,,5,28.581516914627134,77.24866703994955
NCRB_32883,2022-12-31,03:19,Delhi,391,Assault,50,M,Knife,9,28.710688311080144,77.12544961674587
NCRB_32884,2023-08-01,16:28,Delhi,232,Burglary,30,M,,2,28.79241795230549,77.1527331585682
NCRB_32885,2022-11-16,08:43,Delhi,182,Assault,18,M,Blunt Object,10,28.633150557640764,77.08309057287538
NCRB_32886,2022-09-23,05:35,Delhi,808,Drug Offense,60,M,Firearm,4,28.44715423437836,77.01346837680134
NCRB_32887,2023-01-08,13:27,Delhi,494,Drug Offense,30,F,Knife,5,28.78333368058153,77.21805568807156
NCRB_32888,2022-09-01,10:34,Delhi,249,Theft/Robbery,34,M,Unknown,7,28.69773469074225,77.20882764357148
NCRB_32889,2022-09-01,19:42,Delhi,765,Theft/Robbery,60,Unknown,Firearm,6,28.43718348205494,77.19189839445586
NCRB_32890,2022-11-22,00:22,Delhi,400,Kidnapping,47,Unknown,Knife,8,28.432847050872105,77.3375007261292
NCRB_32891,2023-12-18,21:28,Delhi,989,Homicide,52,F,Blunt Object,3,28.615267113588004,77.40203680062045
NCRB_32892,2023-05-01,11:12,Delhi,218,Theft/Robbery,44,F,Knife,2,28.46358595414692,77.13692298250031
NCRB_32893,2022-09-24,03:31,Delhi,448,Drug Offense,40,Unknown,,3,28.551322182007343,77.3888307108897
NCRB_32894,2022-10-01,18:24,Delhi,138,Assault,27,F,,3,28.79045476484024,77.2161674445452
NCRB_32895,2022-06-08,00:38,Delhi,694,Burglary,51,M,Firearm,9,28.427300725053467,77.40356158034795
NCRB_32896,2023-02-16,00:05,Delhi,669,Homicide,46,M,Firearm,4,28.617057519200465,77.05282727811745
NCRB_32897,2022-01-26,16:34,Delhi,916,Theft/Robbery,58,M,Knife,1,28.497195908387493,77.18370094660267
NCRB_32898,2022-03-19,23:17,Delhi,712,Burglary,64,F,Firearm,5,28.617726893674867,77.11013793284053
NCRB_32899,2022-09-21,14:39,Delhi,392,Kidnapping,54,F,Knife,9,28.76660581433271,77.17372957826805
NCRB_32900,2022-08-19,02:53,Delhi,378,Kidnapping,46,F,,4,28.470369220801576,77.08755761971436
NCRB_32901,2023-07-02,07:45,Delhi,175,Kidnapping,19,M,Blunt Object,7,28.529324814883285,77.21600354617546
NCRB_32902,2022-08-30,23:46,Delhi,748,Kidnapping,57,F,Unknown,2,28.522889867314493,77.21614312537137
NCRB_32903,2023-08-15,07:41,Delhi,185,Homicide,43,Unknown,Firearm,6,28.692255196013853,77.13281049509354
NCRB_32904,2022-11-09,08:05,Delhi,735,Theft/Robbery,42,M,Knife,10,28.632066841582912,77.0809787227783
NCRB_32905,2022-12-14,09:55,Delhi,983,Kidnapping,23,F,Blunt Object,6,28.755632562333737,77.12640389387352
NCRB_32906,2022-04-30,16:06,Delhi,258,Burglary,44,F,Firearm,6,28.650174365217627,77.11974041337282
NCRB_32907,2022-09-01,20:35,Delhi,636,Burglary,18,F,Blunt Object,1,28.491873427299566,77.37620566483513
NCRB_32908,2022-01-29,21:46,Delhi,546,Burglary,46,F,Knife,0,28.42196170411644,77.2809617801189
NCRB_32909,2023-04-14,16:33,Delhi,209,Assault,24,Unknown,Blunt Object,10,28.50197413296204,77.01384390500274
NCRB_32910,2022-04-03,09:13,Delhi,162,Homicide,57,F,Blunt Object,6,28.51429061368102,77.09972805471463
NCRB_32911,2023-10-26,10:09,Delhi,978,Theft/Robbery,64,Unknown,,0,28.45647994820248,77.27153449803022
NCRB_32912,2023-01-16,06:43,Delhi,176,Burglary,58,M,Knife,3,28.69673343102351,77.40606124502348
NCRB_32913,2022-02-17,18:42,Delhi,646,Kidnapping,51,M,Blunt Object,4,28.513886391063807,77.15145864230108
NCRB_32914,2023-07-25,23:23,Delhi,435,Burglary,56,F,Blunt Object,8,28.742490909945392,77.17536908728339
NCRB_32915,2023-08-15,09:24,Delhi,341,Burglary,61,Unknown,Firearm,8,28.58163655175694,77.40394430817679
NCRB_32916,2023-10-21,20:26,Delhi,565,Kidnapping,41,Unknown,Firearm,9,28.456944556798945,77.38558420076542
NCRB_32917,2023-03-16,21:35,Delhi,566,Homicide,50,F,,5,28.626555844578498,77.18494534594777
NCRB_32918,2023-11-17,02:08,Delhi,786,Assault,19,Unknown,Firearm,5,28.67176302887268,77.22478463310549
NCRB_32919,2023-04-22,19:56,Delhi,946,Burglary,18,F,Knife,3,28.47411167192516,77.39602165922395
NCRB_32920,2022-01-29,08:39,Delhi,553,Theft/Robbery,56,Unknown,Firearm,10,28.7385635967675,77.26183016538408
NCRB_32921,2023-04-05,04:27,Delhi,229,Assault,52,F,Blunt Object,6,28.65162922376228,77.30072456452184
NCRB_32922,2023-07-17,03:05,Delhi,383,Burglary,57,F,Unknown,8,28.67483756727871,77.12206250745704
NCRB_32923,2023-10-01,12:12,Delhi,685,Assault,58,F,Firearm,3,28.468713353882244,77.24282367708722
NCRB_32924,2022-07-06,02:55,Delhi,559,Drug Offense,57,Unknown,Blunt Object,7,28.675674670727084,77.02121621542726
NCRB_32925,2022-04-09,07:51,Delhi,157,Drug Offense,29,F,Firearm,4,28.57775676510204,77.1796324394363
NCRB_32926,2023-12-28,03:46,Delhi,837,Assault,29,M,,8,28.61676366675944,77.36912810813416
NCRB_32927,2022-09-19,22:27,Delhi,613,Burglary,38,F,Firearm,8,28.45660081661288,77.17243859620795
NCRB_32928,2022-11-14,01:28,Delhi,300,Theft/Robbery,47,M,Firearm,2,28.66875791227326,77.26825850198388
NCRB_32929,2023-04-15,18:29,Delhi,700,Homicide,60,Unknown,,4,28.6091906531566,77.09953880656948
NCRB_32930,2022-01-31,13:39,Delhi,848,Assault,48,F,Firearm,9,28.58997380795833,77.26779107855415
NCRB_32931,2023-07-09,15:36,Delhi,683,Burglary,26,Unknown,Unknown,3,28.58307796888629,77.35507345906446
NCRB_32932,2022-11-16,14:55,Delhi,747,Theft/Robbery,55,Unknown,Firearm,0,28.71879270132278,77.1261536109862
NCRB_32933,2023-09-21,17:31,Delhi,390,Drug Offense,45,M,Knife,0,28.494979946411764,77.09734566834945
NCRB_32934,2023-08-10,02:44,Delhi,344,Burglary,29,Unknown,Firearm,9,28.42804192184963,77.02140348522215
NCRB_32935,2023-04-05,05:36,Delhi,272,Theft/Robbery,29,M,Knife,6,28.77779810882809,77.1621950706896
NCRB_32936,2023-07-23,17:44,Delhi,954,Burglary,34,M,Firearm,9,28.495179532109635,77.23933896343306
NCRB_32937,2022-12-14,01:06,Delhi,440,Burglary,18,Unknown,Blunt Object,9,28.63948555346226,77.22597033786467
NCRB_32938,2023-08-31,17:20,Delhi,859,Homicide,39,F,Knife,1,28.45097852787088,77.15299448597423
NCRB_32939,2023-04-07,10:51,Delhi,850,Drug Offense,64,Unknown,Unknown,4,28.80204288910667,77.13421142618476
NCRB_32940,2023-02-08,17:37,Delhi,250,Theft/Robbery,36,F,Unknown,6,28.43565149616244,77.02086000293114
NCRB_32941,2023-05-06,16:54,Delhi,270,Burglary,20,F,Blunt Object,2,28.69227404197505,77.12256049576554
NCRB_32942,2023-03-03,10:06,Delhi,554,Kidnapping,46,F,Knife,3,28.62521681960437,77.03657611008957
NCRB_32943,2022-04-28,02:38,Delhi,793,Drug Offense,47,M,Knife,7,28.81108642273735,77.34983902242557
NCRB_32944,2022-07-15,15:20,Delhi,893,Assault,24,M,Blunt Object,3,28.622218268009515,77.04318749604857
NCRB_32945,2022-05-16,06:29,Delhi,543,Burglary,24,F,Knife,1,28.72095211623815,77.25097689218603
NCRB_32946,2022-04-27,08:46,Delhi,767,Theft/Robbery,51,F,Firearm,6,28.503351027646666,77.27555817565747
NCRB_32947,2022-08-05,00:01,Delhi,879,Homicide,63,F,Blunt Object,4,28.488424387344057,77.08763741566999
NCRB_32948,2022-05-26,23:09,Delhi,885,Kidnapping,59,M,Unknown,9,28.50843892718709,77.11569082205621
NCRB_32949,2023-07-13,07:14,Delhi,795,Burglary,25,Unknown,,7,28.50670453168904,77.35272805846009
NCRB_32950,2023-02-05,08:59,Delhi,417,Assault,45,Unknown,Knife,8,28.545484296366507,77.32982872236568
NCRB_32951,2023-08-13,14:12,Delhi,323,Burglary,49,M,Knife,8,28.70701725446812,77.18607272784686
NCRB_32952,2022-04-16,10:09,Delhi,116,Kidnapping,28,F,Firearm,3,28.808179356141743,77.30955739492572
NCRB_32953,2023-10-03,15:17,Delhi,378,Homicide,22,M,Firearm,3,28.745085569344656,77.24717316643643
NCRB_32954,2023-10-27,05:48,Delhi,957,Drug Offense,54,F,Unknown,9,28.69317757229653,77.29115579839093
NCRB_32955,2022-12-01,11:24,Delhi,302,Assault,37,M,Knife,4,28.69565974508831,77.32978641348431
NCRB_32956,2023-02-07,09:15,Delhi,992,Theft/Robbery,23,Unknown,Blunt Object,0,28.57133754884697,77.31984261560643
NCRB_32957,2023-02-11,05:28,Delhi,141,Drug Offense,27,M,Blunt Object,6,28.71758836489082,77.08492118610137
NCRB_32958,2022-03-21,06:17,Delhi,488,Theft/Robbery,38,Unknown,Unknown,1,28.710039805422632,77.35467935637467
NCRB_32959,2022-12-08,06:57,Delhi,772,Theft/Robbery,48,Unknown,Unknown,10,28.760414681794785,77.07848652390115
NCRB_32960,2022-10-17,12:30,Delhi,870,Drug Offense,51,Unknown,Firearm,2,28.653630968429333,77.34101402982941
NCRB_32961,2023-02-23,21:53,Delhi,935,Theft/Robbery,25,F,,8,28.44730228062048,77.18951037865092
NCRB_32962,2022-07-07,07:38,Delhi,184,Theft/Robbery,33,F,Unknown,4,28.734633587275063,77.27090035574795
NCRB_32963,2023-07-03,18:44,Delhi,453,Assault,63,Unknown,Firearm,2,28.535163474715297,77.29437750446331
NCRB_32964,2022-11-12,07:20,Delhi,935,Theft/Robbery,20,M,Firearm,4,28.705025339504186,77.31661907213967
NCRB_32965,2022-08-17,18:58,Delhi,435,Drug Offense,48,M,Knife,4,28.53873501870553,77.15346338325546
NCRB_32966,2023-11-26,22:00,Delhi,184,Theft/Robbery,33,F,,9,28.797544290529867,77.17608913843787
NCRB_32967,2022-06-22,12:20,Delhi,867,Burglary,53,Unknown,,5,28.583754160418803,77.1909489312846
NCRB_32968,2022-02-19,04:11,Delhi,852,Homicide,52,F,Blunt Object,0,28.687916032733057,77.09739755194676
NCRB_32969,2023-12-04,16:59,Delhi,366,Drug Offense,56,F,Unknown,1,28.50415052211604,77.0534900408164
NCRB_32970,2023-03-06,05:22,Delhi,262,Burglary,51,M,Unknown,2,28.67185576677403,77.33507722618675
NCRB_32971,2022-08-27,16:52,Delhi,910,Homicide,55,Unknown,Blunt Object,2,28.59167379295741,77.35415559594121
NCRB_32972,2023-06-11,17:25,Delhi,373,Theft/Robbery,18,Unknown,Unknown,5,28.547102314993907,77.09599119575722
NCRB_32973,2023-05-31,13:10,Delhi,858,Assault,51,M,Firearm,8,28.69740286042733,77.40280645005832
NCRB_32974,2022-08-23,20:06,Delhi,828,Assault,48,F,,4,28.694138243747545,77.09097066096662
NCRB_32975,2022-11-03,09:32,Delhi,179,Drug Offense,65,F,Knife,1,28.53138220266795,77.18420009054358
NCRB_32976,2022-12-13,21:49,Delhi,598,Homicide,19,M,,0,28.66350114947705,77.363983431071
NCRB_32977,2023-05-22,20:48,Delhi,510,Homicide,41,M,,7,28.77528831424289,77.05832083561182
NCRB_32978,2022-04-03,22:29,Delhi,915,Drug Offense,50,M,Unknown,9,28.797876692828545,77.11066132256863
NCRB_32979,2022-03-18,11:46,Delhi,571,Theft/Robbery,28,M,Firearm,10,28.43052889581608,77.0698390008092
NCRB_32980,2023-11-25,14:57,Delhi,459,Burglary,22,Unknown,Blunt Object,0,28.65261775668104,77.31117303403016
NCRB_32981,2023-10-29,18:49,Delhi,460,Assault,18,M,Blunt Object,10,28.52699402762959,77.1432801893061
NCRB_32982,2022-03-23,03:48,Delhi,774,Theft/Robbery,53,Unknown,Blunt Object,4,28.569311981519387,77.15013605583208
NCRB_32983,2023-10-17,20:07,Delhi,526,Burglary,34,F,Knife,7,28.71770334627405,77.35321862831466
NCRB_32984,2023-11-15,12:51,Delhi,630,Assault,63,F,Blunt Object,3,28.54447501520629,77.253386223499
NCRB_32985,2023-07-10,20:57,Delhi,911,Burglary,35,Unknown,Unknown,8,28.749034859239664,77.12761175101971
NCRB_32986,2023-06-06,13:20,Delhi,862,Burglary,60,M,Knife,2,28.441668624665017,77.18445856932273
NCRB_32987,2022-05-10,08:52,Delhi,897,Kidnapping,20,F,Unknown,10,28.50112770901072,77.29572749473712
NCRB_32988,2022-12-26,21:34,Delhi,800,Homicide,62,Unknown,,7,28.664958907481697,77.32181882850023
NCRB_32989,2023-01-17,05:49,Delhi,817,Homicide,59,F,Blunt Object,4,28.50344607579157,77.22316591066885
NCRB_32990,2023-04-12,07:21,Delhi,132,Kidnapping,59,Unknown,Knife,0,28.62707034305373,77.40376207387231
NCRB_32991,2022-12-07,08:41,Delhi,698,Homicide,27,Unknown,,0,28.658297925177013,77.35585424074026
NCRB_32992,2022-08-12,01:39,Delhi,192,Assault,45,Unknown,Knife,0,28.79574679160168,77.29467928485708
NCRB_32993,2023-03-09,09:55,Delhi,755,Assault,52,Unknown,Firearm,4,28.75790729194421,77.01274046719368
NCRB_32994,2023-07-17,00:46,Delhi,308,Theft/Robbery,58,M,Blunt Object,9,28.77119091671337,77.24655051177758
NCRB_32995,2023-01-30,06:47,Delhi,477,Theft/Robbery,58,F,Knife,1,28.637602479591767,77.12227904428254
NCRB_32996,2023-07-31,03:27,Delhi,385,Burglary,65,Unknown,Unknown,1,28.6928769257682,77.21585214811314
NCRB_32997,2022-05-06,23:20,Delhi,715,Kidnapping,44,Unknown,Knife,1,28.592891747512738,77.29510199884213
NCRB_32998,2022-08-05,20:23,Delhi,564,Assault,25,M,Blunt Object,1,28.705396462906563,77.181396025868
NCRB_32999,2023-03-12,04:08,Delhi,437,Burglary,55,Unknown,Firearm,10,28.6116570495668,77.40201256210912
NCRB_33000,2022-12-19,22:20,Delhi,793,Drug Offense,30,Unknown,Firearm,8,28.416505401306534,77.05993364246919
NCRB_33001,2022-07-21,10:57,Delhi,364,Theft/Robbery,46,Unknown,Firearm,3,28.467492582389504,77.03951084942679
NCRB_33002,2022-06-17,07:21,Delhi,811,Kidnapping,58,M,Knife,0,28.4401662894766,77.33596731033266
NCRB_33003,2022-09-18,09:47,Delhi,964,Homicide,36,F,Unknown,2,28.590388318455787,77.28228486372731
NCRB_33004,2023-10-11,12:21,Delhi,744,Kidnapping,57,M,Knife,6,28.701970654635502,77.2726559405695
NCRB_33005,2023-04-16,03:52,Delhi,847,Kidnapping,52,F,Blunt Object,0,28.428852492826405,77.02428907851626
NCRB_33006,2023-11-24,13:40,Delhi,400,Homicide,48,M,Blunt Object,3,28.79793451873916,77.09292424138383
NCRB_33007,2023-09-30,04:06,Delhi,370,Theft/Robbery,59,F,Blunt Object,8,28.731585701596,77.40602965706645
NCRB_33008,2022-10-01,23:48,Delhi,290,Burglary,63,F,Blunt Object,6,28.510808347746178,77.01856455637235
NCRB_33009,2023-09-20,15:01,Delhi,107,Homicide,61,F,Unknown,7,28.805662487343795,77.36783797214493
NCRB_33010,2023-06-10,05:17,Delhi,855,Drug Offense,30,M,Blunt Object,1,28.4784661432179,77.05042487927949
NCRB_33011,2023-10-03,22:20,Delhi,830,Drug Offense,59,M,Firearm,3,28.741167496957136,77.15225591704986
NCRB_33012,2023-02-23,12:38,Delhi,945,Homicide,33,Unknown,Firearm,2,28.67347938344482,77.17979970801149
NCRB_33013,2022-11-11,07:42,Delhi,795,Drug Offense,20,F,Firearm,3,28.43815129637746,77.35814885517168
NCRB_33014,2023-06-15,05:49,Delhi,692,Theft/Robbery,22,F,Unknown,2,28.607361717041453,77.12019340258098
NCRB_33015,2022-03-29,09:09,Delhi,307,Drug Offense,32,Unknown,Firearm,6,28.65073709225617,77.1588132653181
NCRB_33016,2022-11-22,00:59,Delhi,950,Homicide,20,F,Knife,2,28.750787532395485,77.3648251936261
NCRB_33017,2022-03-16,19:53,Delhi,978,Theft/Robbery,44,M,Blunt Object,5,28.784664455284595,77.3585015510123
NCRB_33018,2023-06-27,09:10,Delhi,590,Homicide,43,M,,3,28.428238393084413,77.04579768914728
NCRB_33019,2022-08-21,08:12,Delhi,875,Theft/Robbery,43,Unknown,Firearm,7,28.525695017667427,77.09992220767286
NCRB_33020,2022-03-06,00:57,Delhi,119,Burglary,21,M,Firearm,8,28.81341835422632,77.19048558752489
NCRB_33021,2023-01-01,08:44,Delhi,894,Drug Offense,27,Unknown,Firearm,10,28.42744641344913,77.04471784896054
NCRB_33022,2022-12-15,08:22,Delhi,105,Theft/Robbery,45,M,Knife,4,28.489846413974416,77.15794467364816
NCRB_33023,2022-12-23,13:39,Delhi,770,Assault,48,Unknown,Knife,5,28.751142794942265,77.12666886731225
NCRB_33024,2023-12-11,13:58,Delhi,711,Assault,32,M,Unknown,3,28.737425415148103,77.05905239988145
NCRB_33025,2022-11-26,08:56,Delhi,540,Drug Offense,27,Unknown,Knife,1,28.481631400991343,77.2879570952819
NCRB_33026,2022-03-23,21:45,Delhi,185,Theft/Robbery,28,F,Unknown,1,28.65696325713976,77.27992754721743
NCRB_33027,2023-09-20,19:09,Delhi,495,Assault,54,M,Knife,0,28.783208130396893,77.23455719821345
NCRB_33028,2022-12-08,04:12,Delhi,190,Drug Offense,62,M,Firearm,0,28.49354840045967,77.01387161086176
NCRB_33029,2023-02-21,23:22,Delhi,854,Burglary,31,F,Knife,3,28.73344516676302,77.21534529261558
NCRB_33030,2023-12-07,09:05,Delhi,162,Burglary,43,Unknown,Unknown,9,28.590012847182635,77.14772470816874
NCRB_33031,2023-06-09,18:45,Delhi,265,Kidnapping,19,M,Unknown,1,28.52903273798602,77.33408091669111
NCRB_33032,2022-12-18,06:26,Delhi,303,Assault,23,Unknown,Firearm,6,28.43722147442381,77.10286282434443
NCRB_33033,2022-11-30,15:24,Delhi,955,Kidnapping,42,Unknown,Knife,2,28.50228839220728,77.31660778604449
NCRB_33034,2023-08-10,01:50,Delhi,351,Kidnapping,32,F,Knife,9,28.50354022467011,77.02592625651897
NCRB_33035,2023-09-03,22:21,Delhi,791,Burglary,23,Unknown,Blunt Object,8,28.80592038023753,77.07637053269777
NCRB_33036,2022-05-03,11:30,Delhi,456,Drug Offense,54,F,,7,28.74367399784923,77.29047963807827
NCRB_33037,2023-08-28,09:09,Delhi,578,Theft/Robbery,37,M,Firearm,0,28.734562610511173,77.02005439643116
NCRB_33038,2023-09-30,00:20,Delhi,629,Theft/Robbery,35,Unknown,,6,28.42291309629132,77.07930859280324
NCRB_33039,2022-06-09,17:46,Delhi,661,Burglary,22,M,Knife,7,28.4968449186217,77.2484405741484
NCRB_33040,2023-03-19,14:37,Delhi,524,Homicide,24,M,Blunt Object,3,28.61810036302965,77.3652256866165
NCRB_33041,2022-02-23,22:42,Delhi,398,Burglary,57,Unknown,Firearm,7,28.778586819825087,77.0093352151942
NCRB_33042,2023-05-29,11:34,Delhi,932,Assault,45,M,,5,28.43297776374754,77.17671315499267
NCRB_33043,2023-08-11,07:06,Delhi,938,Kidnapping,40,Unknown,Unknown,6,28.56432404652788,77.22188741588786
NCRB_33044,2023-07-04,18:22,Delhi,366,Kidnapping,63,F,Knife,7,28.517337331373543,77.31860051904755
NCRB_33045,2023-10-21,20:18,Delhi,834,Homicide,39,M,Firearm,1,28.665714780599487,77.28730735676847
NCRB_33046,2022-07-30,09:47,Delhi,611,Theft/Robbery,37,M,Knife,10,28.46710408629896,77.01564842834009
NCRB_33047,2023-12-20,06:54,Delhi,168,Drug Offense,26,F,,6,28.80605713913551,77.39490685743235
NCRB_33048,2022-07-03,22:42,Delhi,141,Burglary,54,M,Knife,1,28.47928820923697,77.09062272126329
NCRB_33049,2023-05-04,12:41,Delhi,679,Burglary,37,M,Blunt Object,5,28.64696398467927,77.294039982452
NCRB_33050,2023-04-25,01:05,Delhi,957,Burglary,18,F,Firearm,2,28.77249979091938,77.3030302698327
NCRB_33051,2022-03-16,20:35,Delhi,981,Drug Offense,31,Unknown,Knife,10,28.54512321169061,77.10778914528339
NCRB_33052,2022-12-13,00:58,Delhi,215,Kidnapping,44,Unknown,Unknown,2,28.76109099402253,77.02640736978103
NCRB_33053,2023-05-30,17:57,Delhi,554,Drug Offense,39,Unknown,Unknown,3,28.656182501487898,77.05107090912028
NCRB_33054,2022-04-20,02:22,Delhi,835,Drug Offense,54,Unknown,Firearm,2,28.57555877945288,77.13568858118664
NCRB_33055,2023-11-22,07:45,Delhi,951,Burglary,56,M,Blunt Object,7,28.61248659055143,77.01260461830374
NCRB_33056,2022-10-09,07:08,Delhi,867,Assault,39,M,,8,28.7606040412804,77.28090235943809
NCRB_33057,2023-11-24,17:34,Delhi,641,Kidnapping,36,F,Unknown,7,28.63975906289069,77.28529994006546
NCRB_33058,2022-11-01,16:51,Delhi,941,Drug Offense,21,F,,3,28.77515872885684,77.25768003253401
NCRB_33059,2022-04-18,02:20,Delhi,984,Theft/Robbery,35,M,,9,28.59852501272129,77.05080861043713
NCRB_33060,2023-12-12,17:40,Delhi,158,Theft/Robbery,61,F,,3,28.51120383529036,77.21107819328374
NCRB_33061,2022-03-15,07:24,Delhi,999,Assault,54,M,,10,28.80832574345057,77.3946390298255
NCRB_33062,2022-11-06,21:59,Delhi,679,Kidnapping,42,F,Firearm,3,28.5294215066834,77.30975027553163
NCRB_33063,2023-07-01,12:58,Delhi,280,Theft/Robbery,34,F,Firearm,2,28.67244716978104,77.03046487949035
NCRB_33064,2023-06-08,19:29,Delhi,817,Drug Offense,34,F,,10,28.4379923259307,77.15816869876228
NCRB_33065,2023-03-09,12:52,Delhi,686,Drug Offense,32,Unknown,Knife,4,28.723880511879617,77.13204298380123
NCRB_33066,2022-03-13,23:19,Delhi,716,Burglary,40,F,Unknown,7,28.751645342176687,77.3726604997738
NCRB_33067,2023-07-25,04:32,Delhi,807,Kidnapping,62,Unknown,Firearm,0,28.44259592302089,77.0734878301709
NCRB_33068,2023-08-05,00:07,Delhi,817,Homicide,62,F,Firearm,7,28.45645133942105,77.38513825945888
NCRB_33069,2022-09-23,12:07,Delhi,195,Kidnapping,42,Unknown,Knife,6,28.597431452878567,77.28901676583386
NCRB_33070,2022-08-28,01:39,Delhi,415,Assault,56,F,,0,28.7364126015539,77.05676972332324
NCRB_33071,2023-01-29,18:01,Delhi,334,Burglary,37,M,Blunt Object,1,28.56668612947329,77.21300278182609
NCRB_33072,2022-08-09,11:46,Delhi,260,Homicide,60,M,Unknown,7,28.59390258883988,77.17655715814992
NCRB_33073,2023-05-06,19:38,Delhi,939,Burglary,64,Unknown,Firearm,2,28.710638473043552,77.32521104776691
NCRB_33074,2022-04-30,08:56,Delhi,574,Kidnapping,41,M,Blunt Object,9,28.66202472373692,77.17609636997517
NCRB_33075,2022-10-07,12:55,Delhi,418,Assault,24,F,,1,28.6807905789308,77.39632337644348
NCRB_33076,2022-10-13,21:23,Delhi,950,Burglary,47,M,,8,28.527272247719967,77.2381384401354
NCRB_33077,2022-07-29,18:23,Delhi,998,Kidnapping,36,Unknown,Blunt Object,7,28.629974976876905,77.072608672846
NCRB_33078,2023-12-17,01:45,Delhi,643,Theft/Robbery,58,Unknown,Blunt Object,0,28.68524030756604,77.27806451133559
NCRB_33079,2022-09-11,05:56,Delhi,521,Drug Offense,60,M,Firearm,8,28.77602639950453,77.17912497222568
NCRB_33080,2022-05-28,10:22,Delhi,316,Theft/Robbery,30,M,Firearm,0,28.55441386256757,77.18030964779477
NCRB_33081,2022-12-16,07:17,Delhi,687,Drug Offense,65,M,Unknown,1,28.699786751979268,77.27989736396005
NCRB_33082,2022-03-28,00:27,Delhi,685,Kidnapping,48,F,Knife,9,28.451636705733684,77.21426937898455
NCRB_33083,2022-04-05,09:33,Delhi,718,Drug Offense,44,Unknown,Unknown,9,28.577795306571304,77.36876672657822
NCRB_33084,2023-11-13,16:14,Delhi,102,Theft/Robbery,52,M,Firearm,6,28.742538724043165,77.290640795815
NCRB_33085,2023-05-06,16:25,Delhi,415,Assault,27,Unknown,Blunt Object,6,28.4628590039554,77.16457777096674
NCRB_33086,2022-10-04,04:48,Delhi,577,Assault,26,Unknown,Knife,0,28.62875263226279,77.17884996299043
NCRB_33087,2023-11-23,10:03,Delhi,541,Assault,64,M,Blunt Object,0,28.65584119966704,77.1460697804757
NCRB_33088,2022-12-23,18:38,Delhi,682,Assault,25,M,,3,28.61817719669929,77.12374761465205
NCRB_33089,2023-10-25,12:14,Delhi,122,Drug Offense,45,M,Unknown,9,28.488242169218367,77.01591326330549
NCRB_33090,2023-01-24,09:17,Delhi,271,Kidnapping,22,Unknown,,3,28.78483304741204,77.30251272827185
NCRB_33091,2022-06-01,18:58,Delhi,715,Homicide,38,F,,2,28.58354546624491,77.16714451086656
NCRB_33092,2023-11-10,17:23,Delhi,574,Homicide,29,M,,5,28.642560321295857,77.07686154286776
NCRB_33093,2023-10-07,10:45,Delhi,964,Theft/Robbery,47,F,Knife,4,28.666646989415703,77.31431220296056
NCRB_33094,2022-02-11,04:42,Delhi,936,Theft/Robbery,26,M,Knife,5,28.493213970799623,77.09615551712486
NCRB_33095,2022-06-15,16:37,Delhi,134,Assault,27,M,Unknown,2,28.453186409704845,77.20269931223038
NCRB_33096,2023-09-21,03:29,Delhi,157,Homicide,53,F,,6,28.492532789644507,77.20742981939463
NCRB_33097,2022-08-03,01:41,Delhi,189,Homicide,58,Unknown,Blunt Object,4,28.697663045002383,77.25830070866398
NCRB_33098,2023-06-06,23:17,Delhi,783,Theft/Robbery,33,F,Unknown,4,28.60089419627216,77.06764261249606
NCRB_33099,2022-03-02,23:57,Delhi,145,Assault,34,Unknown,Unknown,9,28.69181677986712,77.08566613409742
NCRB_33100,2023-05-09,19:22,Delhi,268,Burglary,44,F,Firearm,0,28.48528591060293,77.03570328038357
NCRB_33101,2023-02-24,09:23,Delhi,636,Assault,39,F,Unknown,6,28.69308984494648,77.01650389088064
NCRB_33102,2023-08-21,06:25,Delhi,333,Assault,30,F,Knife,6,28.4497475621503,77.14134079048615
NCRB_33103,2023-02-28,07:55,Delhi,757,Burglary,41,Unknown,,8,28.675521296193445,77.29943171230526
NCRB_33104,2023-10-02,03:15,Delhi,188,Homicide,32,M,,7,28.73664895640434,77.23929148891186
NCRB_33105,2022-11-13,18:21,Delhi,268,Burglary,51,Unknown,Unknown,2,28.73920421675289,77.19734273849092
NCRB_33106,2022-09-26,11:52,Delhi,862,Burglary,41,F,Unknown,6,28.55032935541901,77.1064569507622
NCRB_33107,2023-01-12,22:34,Delhi,122,Assault,57,F,Unknown,2,28.62753477211129,77.22389357588331
NCRB_33108,2023-05-27,09:40,Delhi,452,Drug Offense,48,F,Knife,0,28.769059997737084,77.19955176645307
NCRB_33109,2023-10-27,21:59,Delhi,694,Kidnapping,61,F,Knife,0,28.51293199724226,77.34206318202381
NCRB_33110,2022-06-15,05:15,Delhi,896,Homicide,39,Unknown,Unknown,4,28.72851301801652,77.10575592691426
NCRB_33111,2022-12-31,12:23,Delhi,694,Kidnapping,21,Unknown,,6,28.63303539315587,77.34982754294617
NCRB_33112,2022-01-24,22:56,Delhi,646,Assault,63,Unknown,,9,28.746204613745043,77.34484368653902
